product_id,product_name,category,unit_price
PRD001,Smart LED Bulb,Electronics,1299.00
PRD002,NoiseFit Pulse Watch,Electronics,2499.00
PRD003,Galaxy M55 Phone,Electronics,45999.00
PRD004,Organic Basmati Rice,Grocery,799.00
PRD005,Yoga Mat Pro,Sports,1499.00
PRD006,Mixer Grinder 750W,Home Appliances,8999.00
PRD007,Cotton Kurta,Apparel,1599.00
PRD008,Dark Chocolate Pack,Grocery,699.00
PRD009,UltraBook Air Laptop,Electronics,54999.00
PRD010,Bluetooth Speaker,Electronics,2999.00
PRD011,Health Supplements Alpha 011,Health,606.00
PRD012,Automotive Bike Care Prime 012,Automotive,813.00
PRD013,Stationery Art Supplies Nova 013,Stationery,172.00
PRD014,Pet Care Pet Health Max 014,Pet Care,415.00
PRD015,Garden Irrigation Lite 015,Garden,294.00
PRD016,Electronics Mobiles Pro 016,Electronics,3191.00
PRD017,Grocery Snacks Edge 017,Grocery,440.00
PRD018,Apparel Formal Wear Plus 018,Apparel,1137.00
PRD019,Home Appliances Laundry Core 019,Home Appliances,5166.00
PRD020,Sports Cycling Flex 020,Sports,1639.00
PRD021,Beauty Skin Care Alpha 021,Beauty,750.00
PRD022,Books Education Prime 022,Books,523.00
PRD023,Toys Board Games Nova 023,Toys,866.00
PRD024,Footwear Formal Shoes Max 024,Footwear,1771.00
PRD025,Furniture Dining Lite 025,Furniture,7274.00
PRD026,Health Supplements Pro 026,Health,1161.00
PRD027,Automotive Bike Care Edge 027,Automotive,1518.00
PRD028,Stationery Art Supplies Plus 028,Stationery,337.00
PRD029,Pet Care Pet Health Core 029,Pet Care,700.00
PRD030,Garden Irrigation Flex 030,Garden,489.00
PRD031,Electronics Mobiles Alpha 031,Electronics,5246.00
PRD032,Grocery Snacks Prime 032,Grocery,785.00
PRD033,Apparel Formal Wear Nova 033,Apparel,1752.00
PRD034,Home Appliances Laundry Max 034,Home Appliances,8061.00
PRD035,Sports Cycling Lite 035,Sports,2644.00
PRD036,Beauty Skin Care Pro 036,Beauty,1215.00
PRD037,Books Education Edge 037,Books,778.00
PRD038,Toys Board Games Plus 038,Toys,1301.00
PRD039,Footwear Formal Shoes Core 039,Footwear,2566.00
PRD040,Furniture Dining Flex 040,Furniture,10439.00
PRD041,Health Supplements Alpha 041,Health,1716.00
PRD042,Automotive Bike Care Prime 042,Automotive,2223.00
PRD043,Stationery Art Supplies Nova 043,Stationery,502.00
PRD044,Pet Care Pet Health Max 044,Pet Care,985.00
PRD045,Garden Irrigation Lite 045,Garden,684.00
PRD046,Electronics Mobiles Pro 046,Electronics,7301.00
PRD047,Grocery Snacks Edge 047,Grocery,1130.00
PRD048,Apparel Formal Wear Plus 048,Apparel,2367.00
PRD049,Home Appliances Laundry Core 049,Home Appliances,10956.00
PRD050,Sports Cycling Flex 050,Sports,3649.00
PRD051,Beauty Skin Care Alpha 051,Beauty,1680.00
PRD052,Books Education Prime 052,Books,1033.00
PRD053,Toys Board Games Nova 053,Toys,1736.00
PRD054,Footwear Formal Shoes Max 054,Footwear,3361.00
PRD055,Furniture Dining Lite 055,Furniture,13604.00
PRD056,Health Supplements Pro 056,Health,2271.00
PRD057,Automotive Bike Care Edge 057,Automotive,2928.00
PRD058,Stationery Art Supplies Plus 058,Stationery,667.00
PRD059,Pet Care Pet Health Core 059,Pet Care,1270.00
PRD060,Garden Irrigation Flex 060,Garden,879.00
PRD061,Electronics Mobiles Alpha 061,Electronics,9356.00
PRD062,Grocery Snacks Prime 062,Grocery,1475.00
PRD063,Apparel Formal Wear Nova 063,Apparel,2982.00
PRD064,Home Appliances Laundry Max 064,Home Appliances,13851.00
PRD065,Sports Cycling Lite 065,Sports,4654.00
PRD066,Beauty Skin Care Pro 066,Beauty,2145.00
PRD067,Books Education Edge 067,Books,1288.00
PRD068,Toys Board Games Plus 068,Toys,2171.00
