transaction_id,product_id,product_name,category,sale_date,unit_price,discount,quantity,gross_amount,net_amount
T000001,PRD133,Stationery Art Supplies Nova 133,Stationery,2025-04-04,292.0,10,24,7008.0,6307.2
T000002,PRD310,Furniture Dining Flex 310,Furniture,2025-06-12,22409.0,40,16,358544.0,215126.4
T000003,PRD011,Health Supplements Alpha 011,Health,2025-06-13,606.0,20,15,9090.0,7272.0
T000004,PRD164,Pet Care Pet Health Max 164,Pet Care,2025-07-06,265.0,5,9,2385.0,2265.75
T000005,PRD419,Pet Care Pet Health Core 419,Pet Care,2025-05-01,2110.0,25,19,40090.0,30067.5
T000006,PRD478,Stationery Art Supplies Plus 478,Stationery,2025-10-14,487.0,5,18,8766.0,8327.7
T000007,PRD058,Stationery Art Supplies Plus 058,Stationery,2025-02-04,667.0,10,22,14674.0,13206.6
T000008,PRD342,Automotive Bike Care Prime 342,Automotive,2025-05-19,1323.0,0,10,13230.0,13230.0
T000009,PRD117,Automotive Bike Care Edge 117,Automotive,2025-12-14,5748.0,0,19,109212.0,109212.0
T000010,PRD433,Stationery Art Supplies Nova 433,Stationery,2025-05-09,1192.0,5,15,17880.0,16986.0
T000011,PRD354,Footwear Formal Shoes Max 354,Footwear,2025-05-28,6261.0,20,17,106437.0,85149.6
T000012,PRD428,Toys Board Games Plus 428,Toys,2025-06-27,2111.0,10,30,63330.0,56997.0
T000013,PRD071,Health Supplements Alpha 071,Health,2025-08-14,2826.0,10,25,70650.0,63585.0
T000014,PRD455,Sports Cycling Lite 455,Sports,2025-09-11,5284.0,5,15,79260.0,75297.0
T000015,PRD267,Automotive Bike Care Edge 267,Automotive,2025-04-01,5298.0,0,8,42384.0,42384.0
T000016,PRD360,Garden Irrigation Flex 360,Garden,2025-11-24,4779.0,0,5,23895.0,23895.0
T000017,PRD480,Garden Irrigation Flex 480,Garden,2025-03-04,1339.0,5,11,14729.0,13992.55
T000018,PRD281,Health Supplements Alpha 281,Health,2025-04-06,596.0,15,15,8940.0,7599.0
T000019,PRD338,Toys Board Games Plus 338,Toys,2025-07-12,3001.0,0,21,63021.0,63021.0
T000020,PRD022,Books Education Prime 022,Books,2025-04-29,523.0,0,17,8891.0,8891.0
T000021,PRD026,Health Supplements Pro 026,Health,2025-05-27,1161.0,10,24,27864.0,25077.6
T000022,PRD129,Footwear Formal Shoes Core 129,Footwear,2025-04-19,836.0,0,10,8360.0,8360.0
T000023,PRD115,Furniture Dining Lite 115,Furniture,2025-01-18,26264.0,5,5,131320.0,124754.0
T000024,PRD218,Toys Board Games Plus 218,Toys,2025-08-08,3021.0,5,20,60420.0,57399.0
T000025,PRD143,Toys Board Games Nova 143,Toys,2025-02-19,846.0,20,36,30456.0,24364.8
T000026,PRD453,Apparel Formal Wear Nova 453,Apparel,2025-05-08,972.0,5,20,19440.0,18468.0
T000027,PRD288,Apparel Formal Wear Plus 288,Apparel,2025-09-06,3207.0,25,64,205248.0,153936.0
T000028,PRD393,Apparel Formal Wear Nova 393,Apparel,2025-10-01,3012.0,0,11,33132.0,33132.0
T000029,PRD007,Cotton Kurta,Apparel,2025-12-18,1599.0,0,25,39975.0,39975.0
T000030,PRD217,Books Education Edge 217,Books,2025-04-11,238.0,0,16,3808.0,3808.0
T000031,PRD068,Toys Board Games Plus 068,Toys,2025-06-25,2171.0,5,16,34736.0,32999.2
T000032,PRD311,Health Supplements Alpha 311,Health,2025-12-17,1706.0,15,21,35826.0,30452.1
T000033,PRD065,Sports Cycling Lite 065,Sports,2025-05-09,4654.0,10,24,111696.0,100526.4
T000034,PRD165,Garden Irrigation Lite 165,Garden,2025-02-19,2244.0,10,13,29172.0,26254.8
T000035,PRD475,Furniture Dining Lite 475,Furniture,2025-05-11,12224.0,5,7,85568.0,81289.6
T000036,PRD146,Health Supplements Pro 146,Health,2025-07-07,601.0,0,10,6010.0,6010.0
T000037,PRD236,Health Supplements Pro 236,Health,2025-10-07,3931.0,20,21,82551.0,66040.8
T000038,PRD089,Pet Care Pet Health Core 089,Pet Care,2025-10-21,1840.0,0,19,34960.0,34960.0
T000039,PRD050,Sports Cycling Flex 050,Sports,2025-08-24,3649.0,10,20,72980.0,65682.0
T000040,PRD087,Automotive Bike Care Edge 087,Automotive,2025-07-02,4338.0,0,10,43380.0,43380.0
