transaction_id,full_date,day,month,quarter,year,weekday,product_key,product_name,category,subcategory,unit_price,store_key,store_name,city,state,quantity,discount,gross_amount,net_amount
14376,2024-01-01,1,1,1,2024,Monday,433,Stationery Art Supplies Nova 433,Stationery,Art Supplies,1192.0,58,Kolkata East Mart,Kolkata,West Bengal,5,5.0,5960.0,5662.0
12004,2024-05-07,7,5,2,2024,Tuesday,216,Beauty Skin Care Pro 216,Beauty,Skin Care,1795.0,143,Bhopal North Mart,Bhopal,Madhya Pradesh,4,10.0,7180.0,6462.0
12005,2024-12-25,25,12,4,2024,Wednesday,337,Books Education Edge 337,Books,Education,478.0,18,Delhi MG Road Mart,Delhi,Delhi,4,0.0,1912.0,1912.0
12006,2024-11-19,19,11,4,2024,Tuesday,267,Automotive Bike Care Edge 267,Automotive,Bike Care,5298.0,117,Chandigarh South Mart,Chandigarh,Chandigarh,5,20.0,26490.0,21192.0
12007,2024-05-12,12,5,2,2024,Sunday,357,Automotive Bike Care Edge 357,Automotive,Bike Care,2028.0,103,Nagpur East Mart,Nagpur,Maharashtra,26,5.0,52728.0,50091.6
12008,2024-10-13,13,10,4,2024,Sunday,110,Sports Cycling Flex 110,Sports,Cycling,7669.0,86,Lucknow North Mart,Lucknow,Uttar Pradesh,1,0.0,7669.0,7669.0
12009,2024-11-05,5,11,4,2024,Tuesday,208,Stationery Art Supplies Plus 208,Stationery,Art Supplies,1117.0,171,Ludhiana South Mart,Ludhiana,Punjab,5,20.0,5585.0,4468.0
12010,2024-01-23,23,1,1,2024,Tuesday,138,Apparel Formal Wear Plus 138,Apparel,Formal Wear,1557.0,87,Lucknow South Mart,Lucknow,Uttar Pradesh,27,15.0,42039.0,35733.15
12011,2024-10-13,13,10,4,2024,Sunday,37,Books Education Edge 037,Books,Education,778.0,211,Salem North Mart,Salem,Tamil Nadu,1,0.0,778.0,778.0
12012,2024-06-04,4,6,2,2024,Tuesday,156,Beauty Skin Care Pro 156,Beauty,Skin Care,2435.0,51,Chennai MG Road Mart,Chennai,Tamil Nadu,3,10.0,7305.0,6574.5
12013,2024-06-04,4,6,2,2024,Tuesday,301,Electronics Mobiles Alpha 301,Electronics,Mobiles,42236.0,82,Jaipur South Mart,Jaipur,Rajasthan,3,0.0,126708.0,126708.0
12014,2024-05-08,8,5,2,2024,Wednesday,105,Garden Irrigation Lite 105,Garden,Irrigation,1464.0,98,Indore East Mart,Indore,Madhya Pradesh,3,0.0,4392.0,4392.0
12015,2024-08-30,30,8,3,2024,Friday,327,Automotive Bike Care Edge 327,Automotive,Bike Care,618.0,10,Mumbai Airport Road Mart,Mumbai,Maharashtra,1,0.0,618.0,618.0
12016,2024-12-24,24,12,4,2024,Tuesday,381,Beauty Skin Care Alpha 381,Beauty,Skin Care,1910.0,205,Bhavnagar North Mart,Bhavnagar,Gujarat,3,0.0,5730.0,5730.0
12017,2024-03-24,24,3,1,2024,Sunday,252,Automotive Bike Care Prime 252,Automotive,Bike Care,4593.0,86,Lucknow North Mart,Lucknow,Uttar Pradesh,2,5.0,9186.0,8726.7
12018,2024-08-14,14,8,3,2024,Wednesday,218,Toys Board Games Plus 218,Toys,Board Games,3021.0,206,Hubballi Central Mart,Hubballi,Karnataka,1,15.0,3021.0,2567.85
12019,2024-11-06,6,11,4,2024,Wednesday,196,Electronics Mobiles Pro 196,Electronics,Mobiles,27851.0,98,Indore East Mart,Indore,Madhya Pradesh,28,0.0,779828.0,779828.0
12020,2024-01-03,3,1,1,2024,Wednesday,417,Automotive Bike Care Edge 417,Automotive,Bike Care,4848.0,164,Kanpur North Mart,Kanpur,Uttar Pradesh,1,0.0,4848.0,4848.0
12021,2024-03-11,11,3,1,2024,Monday,107,Grocery Snacks Edge 107,Grocery,Snacks,710.0,59,Kolkata West Mart,Kolkata,West Bengal,2,0.0,1420.0,1420.0
12022,2024-10-07,7,10,4,2024,Monday,475,Furniture Dining Lite 475,Furniture,Dining,12224.0,6,Mumbai MG Road Mart,Mumbai,Maharashtra,2,0.0,24448.0,24448.0
12023,2024-06-11,11,6,2,2024,Tuesday,321,Beauty Skin Care Alpha 321,Beauty,Skin Care,2550.0,48,Chennai South Mart,Chennai,Tamil Nadu,19,20.0,48450.0,38760.0
12024,2024-10-19,19,10,4,2024,Saturday,435,Garden Irrigation Lite 435,Garden,Irrigation,754.0,79,Ahmedabad Civil Lines Mart,Ahmedabad,Gujarat,5,0.0,3770.0,3770.0
12025,2024-08-22,22,8,3,2024,Thursday,308,Toys Board Games Plus 308,Toys,Board Games,2131.0,64,Pune North Mart,Pune,Maharashtra,3,5.0,6393.0,6073.35
12026,2024-01-27,27,1,1,2024,Saturday,180,Garden Irrigation Flex 180,Garden,Irrigation,2439.0,143,Bhopal North Mart,Bhopal,Madhya Pradesh,3,0.0,7317.0,7317.0
12027,2024-07-24,24,7,3,2024,Wednesday,281,Health Supplements Alpha 281,Health,Supplements,596.0,21,Delhi Tech Park Mart,Delhi,Delhi,1,0.0,596.0,596.0
12028,2024-04-09,9,4,2,2024,Tuesday,474,Footwear Formal Shoes Max 474,Footwear,Formal Shoes,6121.0,70,Pune Civil Lines Mart,Pune,Maharashtra,2,0.0,12242.0,12242.0
12029,2024-05-09,9,5,2,2024,Thursday,89,Pet Care Pet Health Core 089,Pet Care,Pet Health,1840.0,22,Delhi Airport Road Mart,Delhi,Delhi,2,10.0,3680.0,3312.0
12030,2024-07-15,15,7,3,2024,Monday,453,Apparel Formal Wear Nova 453,Apparel,Formal Wear,972.0,27,Bengaluru South Mart,Bengaluru,Karnataka,32,0.0,31104.0,31104.0
12031,2024-02-14,14,2,1,2024,Wednesday,49,Home Appliances Laundry Core 049,Home Appliances,Laundry,10956.0,68,Pune MG Road Mart,Pune,Maharashtra,4,0.0,43824.0,43824.0
12032,2024-12-17,17,12,4,2024,Tuesday,155,Sports Cycling Lite 155,Sports,Cycling,2184.0,57,Kolkata South Mart,Kolkata,West Bengal,4,0.0,8736.0,8736.0
12033,2024-11-10,10,11,4,2024,Sunday,162,Automotive Bike Care Prime 162,Automotive,Bike Care,363.0,83,Jaipur East Mart,Jaipur,Rajasthan,1,5.0,363.0,344.85
12034,2024-06-09,9,6,2,2024,Sunday,8,Dark Chocolate Pack,Grocery,Snacks,699.0,78,Ahmedabad Station Road Mart,Ahmedabad,Gujarat,3,0.0,2097.0,2097.0
12035,2024-12-31,31,12,4,2024,Tuesday,78,Apparel Formal Wear Plus 078,Apparel,Formal Wear,3597.0,16,Delhi East Mart,Delhi,Delhi,26,10.0,93522.0,84169.8
12036,2024-08-12,12,8,3,2024,Monday,19,Home Appliances Laundry Core 019,Home Appliances,Laundry,5166.0,24,Delhi Garden Mart,Delhi,Delhi,29,15.0,149814.0,127341.9
12037,2024-11-25,25,11,4,2024,Monday,384,Footwear Formal Shoes Max 384,Footwear,Formal Shoes,1351.0,48,Chennai South Mart,Chennai,Tamil Nadu,2,10.0,2702.0,2431.8
12038,2024-12-28,28,12,4,2024,Saturday,298,Stationery Art Supplies Plus 298,Stationery,Art Supplies,907.0,91,Surat North Mart,Surat,Gujarat,3,10.0,2721.0,2448.9
12039,2024-12-14,14,12,4,2024,Saturday,96,Beauty Skin Care Pro 096,Beauty,Skin Care,575.0,8,Mumbai Civil Lines Mart,Mumbai,Maharashtra,5,20.0,2875.0,2300.0
12040,2024-10-09,9,10,4,2024,Wednesday,479,Pet Care Pet Health Core 479,Pet Care,Pet Health,250.0,183,Udaipur South Mart,Udaipur,Rajasthan,2,10.0,500.0,450.0
12041,2024-07-12,12,7,3,2024,Friday,265,Furniture Dining Lite 265,Furniture,Dining,12914.0,98,Indore East Mart,Indore,Madhya Pradesh,1,10.0,12914.0,11622.6
12042,2024-03-06,6,3,1,2024,Wednesday,446,Health Supplements Pro 446,Health,Supplements,1701.0,15,Delhi South Mart,Delhi,Delhi,2,10.0,3402.0,3061.8
12043,2024-12-21,21,12,4,2024,Saturday,201,Beauty Skin Care Alpha 201,Beauty,Skin Care,1330.0,102,Nagpur South Mart,Nagpur,Maharashtra,4,5.0,5320.0,5054.0
12044,2024-06-25,25,6,2,2024,Tuesday,51,Beauty Skin Care Alpha 051,Beauty,Skin Care,1680.0,160,Madurai Central Mart,Madurai,Tamil Nadu,29,10.0,48720.0,43848.0
12045,2024-10-24,24,10,4,2024,Thursday,72,Automotive Bike Care Prime 072,Automotive,Bike Care,3633.0,235,Navi Mumbai Vashi Mart,Navi Mumbai,Maharashtra,4,0.0,14532.0,14532.0
12046,2024-11-26,26,11,4,2024,Tuesday,263,Toys Board Games Nova 263,Toys,Board Games,826.0,160,Madurai Central Mart,Madurai,Tamil Nadu,35,0.0,28910.0,28910.0
12047,2024-08-08,8,8,3,2024,Thursday,394,Home Appliances Laundry Max 394,Home Appliances,Laundry,7541.0,192,Shimla Central Mart,Shimla,Himachal Pradesh,4,0.0,30164.0,30164.0
12048,2024-08-10,10,8,3,2024,Saturday,279,Footwear Formal Shoes Core 279,Footwear,Formal Shoes,2286.0,55,Kolkata Central Mart,Kolkata,West Bengal,2,0.0,4572.0,4572.0
12049,2024-04-21,21,4,2,2024,Sunday,327,Automotive Bike Care Edge 327,Automotive,Bike Care,618.0,173,Amritsar North Mart,Amritsar,Punjab,5,20.0,3090.0,2472.0
12050,2024-07-27,27,7,3,2024,Saturday,224,Pet Care Pet Health Max 224,Pet Care,Pet Health,1405.0,72,Ahmedabad Central Mart,Ahmedabad,Gujarat,4,20.0,5620.0,4496.0
12051,2024-07-07,7,7,3,2024,Sunday,363,Apparel Formal Wear Nova 363,Apparel,Formal Wear,1782.0,56,Kolkata North Mart,Kolkata,West Bengal,3,0.0,5346.0,5346.0
