transaction_id,full_date,day,month,quarter,year,weekday,product_key,product_name,category,subcategory,unit_price,store_key,store_name,city,state,quantity,discount,gross_amount,net_amount,lag_1,lag_3,lag_7,rolling_mean_3,rolling_mean_7,predicted_quantity
15901,2024-07-23,23,7,3,2024,5,1,399,4,18,1299.0,5,164,42,15,3,5.0,3897.0,3702.15,0.0,0.0,0.0,0.0,0.0,9.13578
21415,2025-07-22,22,7,3,2025,5,1,399,4,18,1299.0,5,164,42,15,3,5.0,3897.0,3702.15,3.0,0.0,0.0,0.0,0.0,2.9411533
14140,2024-07-19,19,7,3,2024,0,1,399,4,18,1299.0,10,153,42,15,2,10.0,2598.0,2338.2,0.0,0.0,0.0,0.0,0.0,3.1241362
19654,2025-07-18,18,7,3,2025,0,1,399,4,18,1299.0,10,153,42,15,2,10.0,2598.0,2338.2,2.0,0.0,0.0,0.0,0.0,1.7191685
12201,2024-08-15,15,8,3,2024,4,1,399,4,18,1299.0,65,190,50,15,2,0.0,2598.0,2598.0,0.0,0.0,0.0,0.0,0.0,3.417501
17715,2025-11-08,8,11,4,2025,2,1,399,4,18,1299.0,65,190,50,15,2,0.0,2598.0,2598.0,2.0,0.0,0.0,0.0,0.0,2.3301811
17201,2026-04-04,4,4,2,2026,2,1,399,4,18,1299.0,65,190,50,15,2,0.0,2598.0,2598.0,2.0,0.0,0.0,0.0,0.0,1.981109
13183,2024-03-17,17,3,1,2024,3,1,399,4,18,1299.0,75,4,1,7,5,15.0,6495.0,5520.75,0.0,0.0,0.0,0.0,0.0,2.903026
18697,2025-03-15,15,3,1,2025,2,1,399,4,18,1299.0,75,4,1,7,5,15.0,6495.0,5520.75,5.0,0.0,0.0,0.0,0.0,4.809036
23183,2026-01-27,27,1,1,2026,5,1,399,4,18,1299.0,75,4,1,7,5,15.0,6495.0,5520.75,5.0,0.0,0.0,0.0,0.0,4.764922
14185,2024-02-10,10,2,1,2024,2,1,399,4,18,1299.0,205,30,7,7,4,0.0,5196.0,5196.0,0.0,0.0,0.0,0.0,0.0,1.685873
19699,2025-09-27,27,9,3,2025,2,1,399,4,18,1299.0,205,30,7,7,4,0.0,5196.0,5196.0,4.0,0.0,0.0,0.0,0.0,4.0239134
13745,2024-12-30,30,12,4,2024,1,2,364,4,22,2499.0,10,153,42,15,2,0.0,4998.0,4998.0,0.0,0.0,0.0,0.0,0.0,3.3322725
19259,2025-12-30,30,12,4,2025,5,2,364,4,22,2499.0,10,153,42,15,2,0.0,4998.0,4998.0,2.0,0.0,0.0,0.0,0.0,1.9760655
23745,2026-06-29,29,6,2,2026,1,2,364,4,22,2499.0,10,153,42,15,2,0.0,4998.0,4998.0,2.0,0.0,0.0,0.0,0.0,2.000989
13514,2024-05-03,3,5,2,2024,0,2,364,4,22,2499.0,30,22,6,12,3,0.0,7497.0,7497.0,0.0,0.0,0.0,0.0,0.0,4.266564
19028,2025-05-03,3,5,2,2025,2,2,364,4,22,2499.0,30,22,6,12,3,0.0,7497.0,7497.0,3.0,0.0,0.0,0.0,0.0,2.9780176
23514,2026-01-23,23,1,1,2026,0,2,364,4,22,2499.0,30,22,6,12,3,0.0,7497.0,7497.0,3.0,0.0,0.0,0.0,0.0,3.9128473
15385,2024-10-01,1,10,4,2024,5,2,364,4,22,2499.0,52,52,12,22,4,15.0,9996.0,8496.6,0.0,0.0,0.0,0.0,0.0,3.8306012
20899,2025-09-01,1,9,3,2025,1,2,364,4,22,2499.0,52,52,12,22,4,15.0,9996.0,8496.6,4.0,0.0,0.0,0.0,0.0,3.9842021
14827,2024-04-23,23,4,2,2024,5,2,364,4,22,2499.0,62,133,36,27,4,0.0,9996.0,9996.0,0.0,0.0,0.0,0.0,0.0,2.616397
20341,2025-04-23,23,4,2,2025,6,2,364,4,22,2499.0,62,133,36,27,4,0.0,9996.0,9996.0,4.0,0.0,0.0,0.0,0.0,3.8620749
14523,2024-08-20,20,8,3,2024,5,2,364,4,22,2499.0,166,227,66,25,4,0.0,9996.0,9996.0,0.0,0.0,0.0,0.0,0.0,2.920965
20037,2025-08-18,18,8,3,2025,1,2,364,4,22,2499.0,166,227,66,25,4,0.0,9996.0,9996.0,4.0,0.0,0.0,0.0,0.0,4.1500382
15018,2024-07-19,19,7,3,2024,0,3,230,4,15,45999.0,23,71,16,5,2,10.0,91998.0,82798.2,0.0,0.0,0.0,0.0,0.0,5.6998925
20532,2025-07-17,17,7,3,2025,4,3,230,4,15,45999.0,23,71,16,5,2,10.0,91998.0,82798.2,2.0,0.0,0.0,0.0,0.0,2.0871408
16693,2024-07-21,21,7,3,2024,3,3,230,4,15,45999.0,31,26,6,12,1,0.0,45999.0,45999.0,0.0,0.0,0.0,0.0,0.0,4.000377
22207,2025-07-20,20,7,3,2025,3,3,230,4,15,45999.0,31,26,6,12,1,0.0,45999.0,45999.0,1.0,0.0,0.0,0.0,0.0,1.0268639
16118,2024-11-08,8,11,4,2024,0,3,230,4,15,45999.0,36,92,24,23,37,20.0,1701963.0,1361570.4,0.0,0.0,0.0,0.0,0.0,27.303545
21632,2025-08-08,8,8,3,2025,0,3,230,4,15,45999.0,36,92,24,23,37,20.0,1701963.0,1361570.4,37.0,0.0,0.0,0.0,0.0,38.48876
13844,2024-03-10,10,3,1,2024,3,3,230,4,15,45999.0,46,46,12,22,3,15.0,137997.0,117297.45,0.0,0.0,0.0,0.0,0.0,4.4571996
19358,2025-09-28,28,9,3,2025,3,3,230,4,15,45999.0,46,46,12,22,3,15.0,137997.0,117297.45,3.0,0.0,0.0,0.0,0.0,3.907531
23844,2026-04-29,29,4,2,2026,6,3,230,4,15,45999.0,46,46,12,22,3,15.0,137997.0,117297.45,3.0,0.0,0.0,0.0,0.0,3.1121817
15441,2024-06-01,1,6,2,2024,2,3,230,4,15,45999.0,54,53,12,22,3,0.0,137997.0,137997.0,0.0,0.0,0.0,0.0,0.0,4.20889
20955,2025-05-01,1,5,2,2025,4,3,230,4,15,45999.0,54,53,12,22,3,0.0,137997.0,137997.0,3.0,0.0,0.0,0.0,0.0,3.137883
12308,2024-01-14,14,1,1,2024,3,3,230,4,15,45999.0,75,4,1,7,2,0.0,91998.0,91998.0,0.0,0.0,0.0,0.0,0.0,4.185929
17822,2025-01-14,14,1,1,2025,5,3,230,4,15,45999.0,75,4,1,7,2,0.0,91998.0,91998.0,2.0,0.0,0.0,0.0,0.0,1.901758
17308,2026-04-01,1,4,2,2026,6,3,230,4,15,45999.0,75,4,1,7,2,0.0,91998.0,91998.0,2.0,0.0,0.0,0.0,0.0,1.8145345
14487,2024-03-15,15,3,1,2024,0,3,230,4,15,45999.0,84,115,29,21,5,5.0,229995.0,218495.25,0.0,0.0,0.0,0.0,0.0,4.17167
20001,2025-03-13,13,3,1,2025,4,3,230,4,15,45999.0,84,115,29,21,5,5.0,229995.0,218495.25,5.0,0.0,0.0,0.0,0.0,5.1248794
13760,2024-07-20,20,7,3,2024,2,3,230,4,15,45999.0,89,145,38,25,4,10.0,183996.0,165596.4,0.0,0.0,0.0,0.0,0.0,4.084227
19274,2025-07-18,18,7,3,2025,0,3,230,4,15,45999.0,89,145,38,25,4,10.0,183996.0,165596.4,4.0,0.0,0.0,0.0,0.0,3.901799
23760,2026-03-22,22,3,1,2026,3,3,230,4,15,45999.0,89,145,38,25,4,10.0,183996.0,165596.4,4.0,0.0,0.0,0.0,0.0,3.8138466
15400,2024-10-10,10,10,4,2024,4,3,230,4,15,45999.0,109,59,13,22,3,0.0,137997.0,137997.0,0.0,0.0,0.0,0.0,0.0,5.07091
20914,2025-07-10,10,7,3,2025,4,3,230,4,15,45999.0,109,59,13,22,3,0.0,137997.0,137997.0,3.0,0.0,0.0,0.0,0.0,3.0288599
13377,2024-07-31,31,7,3,2024,6,3,230,4,15,45999.0,127,236,68,0,3,10.0,137997.0,124197.3,0.0,0.0,0.0,0.0,0.0,1.1738703
18891,2025-07-29,29,7,3,2025,5,3,230,4,15,45999.0,127,236,68,0,3,10.0,137997.0,124197.3,3.0,0.0,0.0,0.0,0.0,3.083323
23377,2026-03-27,27,3,1,2026,0,3,230,4,15,45999.0,127,236,68,0,3,10.0,137997.0,124197.3,3.0,0.0,0.0,0.0,0.0,4.093765
12267,2024-06-02,2,6,2,2024,3,3,230,4,15,45999.0,166,227,66,25,1,0.0,45999.0,45999.0,0.0,0.0,0.0,0.0,0.0,1.5106412
17781,2025-06-02,2,6,2,2025,1,3,230,4,15,45999.0,166,227,66,25,1,0.0,45999.0,45999.0,1.0,0.0,0.0,0.0,0.0,0.94060653
17267,2026-01-13,13,1,1,2026,5,3,230,4,15,45999.0,166,227,66,25,1,0.0,45999.0,45999.0,1.0,0.0,0.0,0.0,0.0,0.78012383
16985,2024-03-11,11,3,1,2024,1,3,230,4,15,45999.0,199,88,22,26,2,0.0,91998.0,91998.0,0.0,0.0,0.0,0.0,0.0,2.9980464
22499,2025-01-11,11,1,1,2025,2,3,230,4,15,45999.0,199,88,22,26,2,0.0,91998.0,91998.0,2.0,0.0,0.0,0.0,0.0,2.4105926
14720,2024-12-27,27,12,4,2024,0,3,230,4,15,45999.0,237,152,41,20,38,0.0,1747962.0,1747962.0,0.0,0.0,0.0,0.0,0.0,27.029173
20234,2025-12-27,27,12,4,2025,2,3,230,4,15,45999.0,237,152,41,20,38,0.0,1747962.0,1747962.0,38.0,0.0,0.0,0.0,0.0,37.423527
15266,2024-10-23,23,10,4,2024,6,3,230,4,15,45999.0,239,220,63,0,2,5.0,91998.0,87398.1,0.0,0.0,0.0,0.0,0.0,2.9884174
20780,2025-10-20,20,10,4,2025,1,3,230,4,15,45999.0,239,220,63,0,2,5.0,91998.0,87398.1,2.0,0.0,0.0,0.0,0.0,2.3847547
13811,2024-12-28,28,12,4,2024,2,3,230,4,15,45999.0,240,217,60,15,1,0.0,45999.0,45999.0,0.0,0.0,0.0,0.0,0.0,3.6942658
19325,2025-12-28,28,12,4,2025,3,3,230,4,15,45999.0,240,217,60,15,1,0.0,45999.0,45999.0,1.0,0.0,0.0,0.0,0.0,1.6910889
23811,2026-06-27,27,6,2,2026,2,3,230,4,15,45999.0,240,217,60,15,1,0.0,45999.0,45999.0,1.0,0.0,0.0,0.0,0.0,1.2395306
13416,2024-06-11,11,6,2,2024,5,4,365,8,20,799.0,7,162,42,15,4,0.0,3196.0,3196.0,0.0,0.0,0.0,0.0,0.0,4.350601
18930,2025-07-11,11,7,3,2025,0,4,365,8,20,799.0,7,162,42,15,4,0.0,3196.0,3196.0,4.0,0.0,0.0,0.0,0.0,4.6483607
23416,2026-05-25,25,5,2,2026,1,4,365,8,20,799.0,7,162,42,15,4,0.0,3196.0,3196.0,4.0,0.0,0.0,0.0,0.0,3.898489
13963,2024-02-17,17,2,1,2024,2,4,365,8,20,799.0,18,69,16,5,3,0.0,2397.0,2397.0,0.0,0.0,0.0,0.0,0.0,3.5330598
19477,2025-02-16,16,2,1,2025,3,4,365,8,20,799.0,18,69,16,5,3,0.0,2397.0,2397.0,3.0,0.0,0.0,0.0,0.0,2.9202476
23963,2026-01-17,17,1,1,2026,2,4,365,8,20,799.0,18,69,16,5,3,0.0,2397.0,2397.0,3.0,0.0,0.0,0.0,0.0,2.9252622
