full_date,year,month,quarter,weekday,store_id,store_name,product_id,product_name,total_revenue,total_orders,avg_order_value,lag_1,lag_7,rolling_avg_7,Actual Revenue,Predicted Revenue
2026-08-01,2026,8,3,5,103.0,Chennai Store,1012.0,Speaker,175284.72,257.0,682.04,180244.05,135472.18,182289.85,175284.72,179136.6731
2026-08-02,2026,8,3,6,108.0,Ahmedabad Store,1002.0,Desktop,173883.64,307.0,566.4,175284.72,316470.08,161920.36,173883.64,161537.23620000007
2026-08-03,2026,8,3,0,104.0,Mumbai Store,1020.0,Microphone,316781.88,526.0,602.25,173883.64,158960.11,184466.33,316781.88,182731.53559999997
2026-08-04,2026,8,3,1,110.0,Kochi Store,1014.0,SSD,315794.48,464.0,680.59,316781.88,156584.06,207210.68,315794.48,163675.77320000014
2026-08-05,2026,8,3,2,102.0,Hyderabad Store,1004.0,Keyboard,336259.46,519.0,647.9,315794.48,85907.6,242975.23,336259.46,212509.7671000001
2026-08-06,2026,8,3,3,104.0,Mumbai Store,1010.0,Smart Watch,299528.05,482.0,621.43,336259.46,202578.36,256825.18,299528.05,244942.14780000027
2026-08-07,2026,8,3,4,101.0,Bangalore Store,1017.0,UPS,207905.85,366.0,568.05,299528.05,180244.05,260776.87,207905.85,284741.97190000006
2026-08-08,2026,8,3,5,105.0,Delhi Store,1011.0,Headphones,232918.88,379.0,614.56,207905.85,175284.72,269010.32,232918.88,299489.6962000002
2026-08-09,2026,8,3,6,103.0,Chennai Store,1013.0,Camera,312367.07,579.0,539.49,232918.88,173883.64,288793.67,312367.07,297581.23960000003
2026-08-10,2026,8,3,0,105.0,Delhi Store,1014.0,SSD,232050.89,377.0,615.52,312367.07,316781.88,276689.24,232050.89,282740.4775999998
2026-08-11,2026,8,3,1,108.0,Ahmedabad Store,1009.0,Mobile,203725.74,311.0,655.07,232050.89,315794.48,260679.42,203725.74,282677.7245999997
2026-08-12,2026,8,3,2,109.0,Jaipur Store,1004.0,Keyboard,256727.59,369.0,695.74,203725.74,336259.46,249317.72,256727.59,219035.83679999984
2026-08-13,2026,8,3,3,108.0,Ahmedabad Store,1008.0,Tablet,199067.97,380.0,523.86,256727.59,299528.05,234966.28,199067.97,215000.73959999988
2026-08-14,2026,8,3,4,108.0,Ahmedabad Store,1010.0,Smart Watch,234363.55,344.0,681.29,199067.97,207905.85,238745.96,234363.55,258550.72900000014
2026-08-15,2026,8,3,5,108.0,Ahmedabad Store,1020.0,Microphone,119458.42,212.0,563.48,234363.55,232918.88,222537.32,119458.42,239211.2194999999
2026-08-16,2026,8,3,6,109.0,Jaipur Store,1006.0,Printer,295655.75,491.0,602.15,119458.42,312367.07,220149.99,295655.75,254757.96099999984
2026-08-17,2026,8,3,0,106.0,Pune Store,1020.0,Microphone,99676.15,143.0,697.04,295655.75,232050.89,201239.31,99676.15,161955.02690000006
2026-08-18,2026,8,3,1,106.0,Pune Store,1019.0,Webcam,284011.25,484.0,586.8,99676.15,203725.74,212708.67,284011.25,191230.4649
