product_key,company_name,category,total_orders,predicted_returns,predicted_return_rate
79,homechef,home appliances,5,5,1.0
55,woodcraft,furniture,3,3,1.0
6,homechef,home appliances,3,3,1.0
481,brightnest,electronics,3,3,1.0
499,homechef,home appliances,2,2,1.0
466,brightnest,electronics,11,11,1.0
429,stepwell,footwear,3,3,1.0
421,brightnest,electronics,4,4,1.0
439,homechef,home appliances,1,1,1.0
84,stepwell,footwear,1,1,1.0
91,brightnest,electronics,3,3,1.0
169,homechef,home appliances,5,5,1.0
430,woodcraft,furniture,1,1,1.0
406,brightnest,electronics,3,3,1.0
361,brightnest,electronics,2,2,1.0
379,homechef,home appliances,2,2,1.0
391,brightnest,electronics,3,3,1.0
310,woodcraft,furniture,3,3,1.0
364,homechef,home appliances,1,1,1.0
226,brightnest,electronics,1,1,1.0
2,noise,electronics,2,2,1.0
241,brightnest,electronics,2,2,1.0
256,brightnest,electronics,3,3,1.0
271,brightnest,electronics,2,2,1.0
31,brightnest,electronics,1,1,1.0
106,brightnest,electronics,5,5,1.0
196,brightnest,electronics,4,4,1.0
181,brightnest,electronics,13,13,1.0
166,brightnest,electronics,2,2,1.0
316,brightnest,electronics,12,11,0.9166666666666666
211,brightnest,electronics,10,9,0.9
121,brightnest,electronics,10,9,0.9
151,brightnest,electronics,9,8,0.8888888888888888
301,brightnest,electronics,8,7,0.875
454,homechef,home appliances,13,11,0.8461538461538461
136,brightnest,electronics,6,5,0.8333333333333334
496,brightnest,electronics,6,5,0.8333333333333334
76,brightnest,electronics,5,4,0.8
39,stepwell,footwear,5,4,0.8
436,brightnest,electronics,10,8,0.8
46,brightnest,electronics,20,16,0.8
69,stepwell,footwear,13,10,0.7692307692307693
117,automate,automotive,4,3,0.75
175,woodcraft,furniture,4,3,0.75
34,homechef,home appliances,4,3,0.75
355,woodcraft,furniture,4,3,0.75
274,homechef,home appliances,4,3,0.75
396,glowleaf,beauty,4,3,0.75
115,woodcraft,furniture,4,3,0.75
474,stepwell,footwear,4,3,0.75
49,homechef,home appliances,4,3,0.75
214,homechef,home appliances,10,7,0.7
325,woodcraft,furniture,3,2,0.6666666666666666
160,woodcraft,furniture,3,2,0.6666666666666666
