customer_city,total_orders,predicted_returns,predicted_return_rate
hubballi,4,3,0.75
shillong,4,3,0.75
agartala,3,2,0.6666666666666666
patna,18,9,0.5
gurugram,23,9,0.391304347826087
raipur,23,8,0.34782608695652173
mohali,3,1,0.3333333333333333
salem,6,2,0.3333333333333333
kochi,48,14,0.2916666666666667
chandigarh,32,9,0.28125
jodhpur,18,5,0.2777777777777778
jamnagar,12,3,0.25
gwalior,4,1,0.25
lucknow,64,16,0.25
nashik,41,10,0.24390243902439024
surat,74,18,0.24324324324324326
panaji,17,4,0.23529411764705882
vijayawada,13,3,0.23076923076923078
ludhiana,13,3,0.23076923076923078
hyderabad,146,31,0.21232876712328766
delhi,221,45,0.20361990950226244
jabalpur,5,1,0.2
noida,26,5,0.19230769230769232
vadodara,37,7,0.1891891891891892
coimbatore,72,13,0.18055555555555555
mysuru,34,6,0.17647058823529413
amritsar,17,3,0.17647058823529413
chennai,138,23,0.16666666666666666
visakhapatnam,30,5,0.16666666666666666
haridwar,18,3,0.16666666666666666
bhopal,68,11,0.16176470588235295
mumbai,180,29,0.16111111111111112
pune,150,24,0.16
jaipur,69,11,0.15942028985507245
indore,63,10,0.15873015873015872
ahmedabad,109,17,0.1559633027522936
ghaziabad,7,1,0.14285714285714285
belagavi,14,2,0.14285714285714285
bengaluru,153,21,0.13725490196078433
kolkata,103,14,0.13592233009708737
rajkot,25,3,0.12
varanasi,37,4,0.10810810810810811
madurai,39,4,0.10256410256410256
cuttack,22,2,0.09090909090909091
shimla,11,1,0.09090909090909091
udaipur,11,1,0.09090909090909091
kanpur,28,2,0.07142857142857142
haldwani,14,1,0.07142857142857142
rourkela,16,1,0.0625
nagpur,47,2,0.0425531914893617
jammu,6,0,0.0
bhubaneswar,13,0,0.0
bhavnagar,6,0,0.0
imphal,4,0,0.0
bilaspur,6,0,0.0
itanagar,8,0,0.0
navi mumbai,1,0,0.0
ranchi,4,0,0.0
srinagar,10,0,0.0
thane,3,0,0.0
tirupati,3,0,0.0
thrissur,1,0,0.0
warangal,5,0,0.0
